,barcodes,ms_leiden_2.5,AIFI_L1,AIFI_L2,AIFI_L3
12608,d5c385e2fef811eb887c9abd79b723cf,13,B cell ,Memory B cell,Early memory B cell
12609,d5c55142fef811eb887c9abd79b723cf,4,B cell ,Memory B cell,Core memory B cell
12610,d5c70550fef811eb887c9abd79b723cf,2,B cell ,Memory B cell,CD95 memory B cell
12611,d5c938a2fef811eb887c9abd79b723cf,10,B cell ,Memory B cell,Type 2 polarized memory B cell
12612,d5ceb67efef811eb887c9abd79b723cf,6,B cell ,Memory B cell,Core memory B cell
12613,d5d22cbefef811eb887c9abd79b723cf,2,B cell ,Memory B cell,Core memory B cell
12614,d5d2bed6fef811eb887c9abd79b723cf,0,B cell ,Memory B cell,Core memory B cell
12615,d5d305dafef811eb887c9abd79b723cf,10,B cell ,Memory B cell,Type 2 polarized memory B cell
12616,d5d4269afef811eb887c9abd79b723cf,2,B cell ,Memory B cell,Core memory B cell
12617,d5d44ab2fef811eb887c9abd79b723cf,0,B cell ,Memory B cell,Core memory B cell
12618,d5d69326fef811eb887c9abd79b723cf,0,B cell ,Memory B cell,Core memory B cell
12619,d5d881fefef811eb887c9abd79b723cf,0,B cell ,Memory B cell,Core memory B cell
12620,d5d9b416fef811eb887c9abd79b723cf,5,B cell ,Memory B cell,Core memory B cell
12621,d5da0100fef811eb887c9abd79b723cf,13,B cell ,Memory B cell,Core memory B cell
12622,d5dc7ed0fef811eb887c9abd79b723cf,0,B cell ,Memory B cell,Early memory B cell
12623,ff2af8e4fecf11eb90fb7eed3f7f36ac,6,B cell ,Memory B cell,Core memory B cell
12624,ff2ccc64fecf11eb90fb7eed3f7f36ac,1,B cell ,Memory B cell,Early memory B cell
12625,ff2e55acfecf11eb90fb7eed3f7f36ac,4,B cell ,Memory B cell,Core memory B cell
12626,ff2feb06fecf11eb90fb7eed3f7f36ac,4,B cell ,Memory B cell,Core memory B cell
12627,ff3018cefecf11eb90fb7eed3f7f36ac,0,B cell ,Memory B cell,Core memory B cell
12628,ff301a0efecf11eb90fb7eed3f7f36ac,8,B cell ,Memory B cell,Core memory B cell
12629,ff31b774fecf11eb90fb7eed3f7f36ac,1,B cell ,Memory B cell,Core memory B cell
12630,ff3690b4fecf11eb90fb7eed3f7f36ac,1,B cell ,Memory B cell,Core memory B cell
12631,ff37ad6efecf11eb90fb7eed3f7f36ac,10,B cell ,Memory B cell,Type 2 polarized memory B cell
12632,ff3b89d4fecf11eb90fb7eed3f7f36ac,8,B cell ,Memory B cell,Core memory B cell
12633,ff3f81a6fecf11eb90fb7eed3f7f36ac,1,B cell ,Memory B cell,Core memory B cell
12634,ff4000b8fecf11eb90fb7eed3f7f36ac,1,B cell ,Memory B cell,Core memory B cell
12635,ff407eeefecf11eb90fb7eed3f7f36ac,2,B cell ,Memory B cell,Core memory B cell
12636,ff427de8fecf11eb90fb7eed3f7f36ac,6,B cell ,Memory B cell,Core memory B cell
12637,ff4548d4fecf11eb90fb7eed3f7f36ac,5,B cell ,Memory B cell,Core memory B cell
12638,ff46ce98fecf11eb90fb7eed3f7f36ac,10,B cell ,Memory B cell,Type 2 polarized memory B cell
12639,ff4a7002fecf11eb90fb7eed3f7f36ac,1,B cell ,Memory B cell,Core memory B cell
12640,ff4b0ba2fecf11eb90fb7eed3f7f36ac,1,B cell ,Memory B cell,Core memory B cell
12641,ff4c0390fecf11eb90fb7eed3f7f36ac,10,B cell ,Memory B cell,Type 2 polarized memory B cell
12642,ff531c8efecf11eb90fb7eed3f7f36ac,1,B cell ,Memory B cell,Early memory B cell
12643,ff54aba8fecf11eb90fb7eed3f7f36ac,0,B cell ,Memory B cell,Core memory B cell
12644,ff55112efecf11eb90fb7eed3f7f36ac,0,B cell ,Memory B cell,Early memory B cell
12645,ff5a8adcfecf11eb90fb7eed3f7f36ac,6,B cell ,Memory B cell,Core memory B cell
12646,ff5ca574fecf11eb90fb7eed3f7f36ac,1,B cell ,Memory B cell,Core memory B cell
12647,ff5e6d32fecf11eb90fb7eed3f7f36ac,5,B cell ,Memory B cell,Core memory B cell
12648,ff5eda4cfecf11eb90fb7eed3f7f36ac,1,B cell ,Memory B cell,Core memory B cell
12649,ff5fc2ccfecf11eb90fb7eed3f7f36ac,0,B cell ,Memory B cell,Core memory B cell
12650,ff60197afecf11eb90fb7eed3f7f36ac,0,B cell ,Memory B cell,Early memory B cell
12651,ff630a54fecf11eb90fb7eed3f7f36ac,6,B cell ,Memory B cell,Core memory B cell
12652,ff654e40fecf11eb90fb7eed3f7f36ac,5,B cell ,Memory B cell,Core memory B cell
12653,ff6632ecfecf11eb90fb7eed3f7f36ac,7,B cell ,Memory B cell,Core memory B cell
12654,ff672a9efecf11eb90fb7eed3f7f36ac,0,B cell ,Memory B cell,Core memory B cell
12655,ff677e90fecf11eb90fb7eed3f7f36ac,4,B cell ,Memory B cell,Core memory B cell
12656,ff694766fecf11eb90fb7eed3f7f36ac,0,B cell ,Memory B cell,Early memory B cell
12657,ff69b944fecf11eb90fb7eed3f7f36ac,1,B cell ,Memory B cell,Core memory B cell
12658,ff6abbfafecf11eb90fb7eed3f7f36ac,4,B cell ,Memory B cell,Core memory B cell
12659,ff6bbb4afecf11eb90fb7eed3f7f36ac,1,B cell ,Memory B cell,Early memory B cell
12660,ff6bd21afecf11eb90fb7eed3f7f36ac,4,B cell ,Memory B cell,Core memory B cell
12661,ff6c3412fecf11eb90fb7eed3f7f36ac,0,B cell ,Memory B cell,Core memory B cell
12662,ff6ca3d4fecf11eb90fb7eed3f7f36ac,2,B cell ,Memory B cell,Core memory B cell
12663,ff6d9c44fecf11eb90fb7eed3f7f36ac,0,B cell ,Memory B cell,Core memory B cell
12664,ff6fd1bcfecf11eb90fb7eed3f7f36ac,5,B cell ,Memory B cell,Core memory B cell
12665,ff709674fecf11eb90fb7eed3f7f36ac,1,B cell ,Memory B cell,Core memory B cell
12666,ff71b37efecf11eb90fb7eed3f7f36ac,1,B cell ,Memory B cell,Core memory B cell
12667,ff71bb58fecf11eb90fb7eed3f7f36ac,1,B cell ,Memory B cell,Core memory B cell
12668,ff7d7862fecf11eb90fb7eed3f7f36ac,5,B cell ,Memory B cell,Core memory B cell
12669,cc370590fec511eb87b23e158aef1042,2,B cell ,Memory B cell,CD95 memory B cell
12670,cc38b4c6fec511eb87b23e158aef1042,8,B cell ,Memory B cell,Core memory B cell
12671,cc3a6424fec511eb87b23e158aef1042,10,B cell ,Memory B cell,Core memory B cell
12672,cc3a77a2fec511eb87b23e158aef1042,13,B cell ,Memory B cell,Early memory B cell
12673,cc3bded0fec511eb87b23e158aef1042,11,B cell ,Memory B cell,Core memory B cell
12674,cc40ea6afec511eb87b23e158aef1042,10,B cell ,Memory B cell,Type 2 polarized memory B cell
12675,cc41c6cefec511eb87b23e158aef1042,0,B cell ,Memory B cell,Early memory B cell
12676,cc4300c0fec511eb87b23e158aef1042,5,B cell ,Memory B cell,Core memory B cell
12677,cc471de0fec511eb87b23e158aef1042,1,B cell ,Memory B cell,Core memory B cell
12678,cc47295cfec511eb87b23e158aef1042,12,B cell ,Memory B cell,CD95 memory B cell
12679,cc47fa08fec511eb87b23e158aef1042,5,B cell ,Memory B cell,Core memory B cell
12680,cc4d4e5efec511eb87b23e158aef1042,12,B cell ,Memory B cell,CD95 memory B cell
12681,cc54272efec511eb87b23e158aef1042,10,B cell ,Memory B cell,Type 2 polarized memory B cell
12682,cc545ff0fec511eb87b23e158aef1042,1,B cell ,Memory B cell,Core memory B cell
12683,cc5cf9bcfec511eb87b23e158aef1042,10,B cell ,Memory B cell,Type 2 polarized memory B cell
12684,cc5ddbdefec511eb87b23e158aef1042,4,B cell ,Memory B cell,Core memory B cell
12685,cc5f19c2fec511eb87b23e158aef1042,1,B cell ,Memory B cell,Core memory B cell
12686,cc5f8d94fec511eb87b23e158aef1042,14,B cell ,Memory B cell,Core memory B cell
12687,cc64bd1efec511eb87b23e158aef1042,1,B cell ,Memory B cell,Early memory B cell
12688,cc6c6622fec511eb87b23e158aef1042,13,B cell ,Memory B cell,Early memory B cell
12689,cc6ca39efec511eb87b23e158aef1042,6,B cell ,Effector B cell,CD27+ effector B cell
12690,cc6ca8f8fec511eb87b23e158aef1042,5,B cell ,Memory B cell,Core memory B cell
12691,cc6cfdbcfec511eb87b23e158aef1042,5,B cell ,Memory B cell,Core memory B cell
12692,cc6dd494fec511eb87b23e158aef1042,3,B cell ,Memory B cell,Core memory B cell
12693,cc720992fec511eb87b23e158aef1042,2,B cell ,Memory B cell,CD95 memory B cell
12694,cc74cbd2fec511eb87b23e158aef1042,5,B cell ,Memory B cell,Core memory B cell
12695,cc75f110fec511eb87b23e158aef1042,2,B cell ,Memory B cell,Core memory B cell
12696,cc7975d8fec511eb87b23e158aef1042,8,B cell ,Memory B cell,Core memory B cell
12697,cc79f224fec511eb87b23e158aef1042,2,B cell ,Memory B cell,Core memory B cell
12698,cc7b5c72fec511eb87b23e158aef1042,1,B cell ,Memory B cell,Core memory B cell
12699,cc7f7b90fec511eb87b23e158aef1042,1,B cell ,Memory B cell,Core memory B cell
12700,cc803ddcfec511eb87b23e158aef1042,7,B cell ,Memory B cell,Core memory B cell
12701,cc84f78cfec511eb87b23e158aef1042,1,B cell ,Memory B cell,Core memory B cell
12702,cc8a1366fec511eb87b23e158aef1042,1,B cell ,Memory B cell,Core memory B cell
12703,14ea8ed8fec611eb87dc9ec311f9e9a6,2,B cell ,Memory B cell,CD95 memory B cell
12704,14eae9a0fec611eb87dc9ec311f9e9a6,1,B cell ,Memory B cell,Core memory B cell
12705,14eafbb6fec611eb87dc9ec311f9e9a6,1,B cell ,Memory B cell,Core memory B cell
12706,14eca9cafec611eb87dc9ec311f9e9a6,13,B cell ,Memory B cell,Core memory B cell
12707,14ecf358fec611eb87dc9ec311f9e9a6,4,B cell ,Memory B cell,Core memory B cell
12708,14ee8a9cfec611eb87dc9ec311f9e9a6,2,B cell ,Memory B cell,Core memory B cell
12709,14eefd7efec611eb87dc9ec311f9e9a6,10,B cell ,Memory B cell,Type 2 polarized memory B cell
12710,14efa918fec611eb87dc9ec311f9e9a6,0,B cell ,Memory B cell,Core memory B cell
12711,14f04b98fec611eb87dc9ec311f9e9a6,7,B cell ,Memory B cell,Core memory B cell
12712,14f05926fec611eb87dc9ec311f9e9a6,7,B cell ,Memory B cell,Core memory B cell
12713,14f0c172fec611eb87dc9ec311f9e9a6,5,B cell ,Memory B cell,Core memory B cell
12714,14f25ba4fec611eb87dc9ec311f9e9a6,6,B cell ,Memory B cell,Core memory B cell
12715,14f48320fec611eb87dc9ec311f9e9a6,13,B cell ,Memory B cell,Core memory B cell
12716,14f745ecfec611eb87dc9ec311f9e9a6,6,B cell ,Memory B cell,Core memory B cell
12717,14f7e89efec611eb87dc9ec311f9e9a6,1,B cell ,Memory B cell,Core memory B cell
12718,14f9fb34fec611eb87dc9ec311f9e9a6,6,B cell ,Memory B cell,Core memory B cell
12719,14fb09fcfec611eb87dc9ec311f9e9a6,7,B cell ,Memory B cell,Core memory B cell
12720,14fc81e2fec611eb87dc9ec311f9e9a6,4,B cell ,Memory B cell,Core memory B cell
12721,14fca82afec611eb87dc9ec311f9e9a6,5,B cell ,Memory B cell,Core memory B cell
12722,14fdd6befec611eb87dc9ec311f9e9a6,6,B cell ,Memory B cell,Core memory B cell
12723,1500f45cfec611eb87dc9ec311f9e9a6,4,B cell ,Memory B cell,Core memory B cell
12724,1501391cfec611eb87dc9ec311f9e9a6,2,B cell ,Memory B cell,Core memory B cell
12725,1502285efec611eb87dc9ec311f9e9a6,2,B cell ,Memory B cell,Core memory B cell
12726,150233b2fec611eb87dc9ec311f9e9a6,6,B cell ,Memory B cell,Core memory B cell
12727,15037a2efec611eb87dc9ec311f9e9a6,1,B cell ,Memory B cell,Early memory B cell
12728,1503d884fec611eb87dc9ec311f9e9a6,0,B cell ,Memory B cell,Early memory B cell
12729,1503f6c0fec611eb87dc9ec311f9e9a6,7,B cell ,Memory B cell,Core memory B cell
12730,15068a20fec611eb87dc9ec311f9e9a6,2,B cell ,Memory B cell,Core memory B cell
12731,1506d4a8fec611eb87dc9ec311f9e9a6,4,B cell ,Memory B cell,Core memory B cell
12732,1506d6a6fec611eb87dc9ec311f9e9a6,5,B cell ,Memory B cell,Core memory B cell
12733,1508198afec611eb87dc9ec311f9e9a6,4,B cell ,Memory B cell,Core memory B cell
12734,150a2ff4fec611eb87dc9ec311f9e9a6,2,B cell ,Memory B cell,Core memory B cell
12735,150b6c48fec611eb87dc9ec311f9e9a6,13,B cell ,Memory B cell,Core memory B cell
12736,150b88fefec611eb87dc9ec311f9e9a6,0,B cell ,Memory B cell,Core memory B cell
12737,150dbcdcfec611eb87dc9ec311f9e9a6,6,B cell ,Memory B cell,Core memory B cell
12738,150e20befec611eb87dc9ec311f9e9a6,6,B cell ,Memory B cell,Core memory B cell
12739,150f9822fec611eb87dc9ec311f9e9a6,1,B cell ,Memory B cell,Core memory B cell
12740,151041d2fec611eb87dc9ec311f9e9a6,2,B cell ,Memory B cell,Core memory B cell
12741,151162a6fec611eb87dc9ec311f9e9a6,1,B cell ,Memory B cell,Core memory B cell
12742,151186a0fec611eb87dc9ec311f9e9a6,1,B cell ,Memory B cell,Early memory B cell
12743,15147afefec611eb87dc9ec311f9e9a6,5,B cell ,Memory B cell,Core memory B cell
