,barcodes,leiden_resolution_2_myeloid-dcs,AIFI_L1,AIFI_L2,AIFI_L3
120,c6bc15c048bd11eab2ee7a6edf799b61,3,Monocyte,CD14 monocyte,Core CD14 monocyte
121,c6bc990a48bd11eab2ee7a6edf799b61,14,DC,cDC2,CD14+ cDC2
122,c6be7e6e48bd11eab2ee7a6edf799b61,4,DC,pDC,pDC
123,c6c0bc9c48bd11eab2ee7a6edf799b61,16,DC,cDC2,CD14+ cDC2
124,74b7e87848b611eabab7c676ab45cfca,4,DC,pDC,pDC
125,74b85dc648b611eabab7c676ab45cfca,11,DC,cDC2,HLA-DRhi cDC2
126,74b887b048b611eabab7c676ab45cfca,10,DC,cDC2,CD14+ cDC2
127,74b9be7848b611eabab7c676ab45cfca,7,Monocyte,CD14 monocyte,Core CD14 monocyte
128,74ba5bda48b611eabab7c676ab45cfca,0,DC,pDC,pDC
129,74ba965e48b611eabab7c676ab45cfca,0,DC,pDC,pDC
130,74c78c9248b611eabab7c676ab45cfca,8,DC,cDC2,HLA-DRhi cDC2
131,74c93fba48b611eabab7c676ab45cfca,1,DC,pDC,pDC
132,74c9be0448b611eabab7c676ab45cfca,9,DC,cDC2,HLA-DRhi cDC2
133,74ccc22a48b611eabab7c676ab45cfca,9,DC,cDC2,CD14+ cDC2
134,74cecb9248b611eabab7c676ab45cfca,17,DC,cDC1,cDC1
135,74dc594c48b611eabab7c676ab45cfca,2,DC,cDC2,HLA-DRhi cDC2
136,74e09bd848b611eabab7c676ab45cfca,15,DC,cDC2,CD14+ cDC2
137,74e2015848b611eabab7c676ab45cfca,7,Monocyte,CD14 monocyte,Core CD14 monocyte
138,74e264fe48b611eabab7c676ab45cfca,8,DC,cDC2,HLA-DRhi cDC2
139,74e77a3448b611eabab7c676ab45cfca,2,DC,cDC2,HLA-DRhi cDC2
140,74e835b448b611eabab7c676ab45cfca,11,DC,cDC2,HLA-DRhi cDC2
141,74eaa24048b611eabab7c676ab45cfca,14,DC,cDC2,CD14+ cDC2
142,74ee517448b611eabab7c676ab45cfca,7,Monocyte,CD14 monocyte,Core CD14 monocyte
143,74ef908e48b611eabab7c676ab45cfca,12,Monocyte,CD14 monocyte,Core CD14 monocyte
